episode,length,time,reward,delta
197,66.0,0.004394000001411769,-5.5999999999999925,0.45698617518124585
198,24.0,0.0015620000012859236,-102.4,-85.90226749886487
199,147.0,0.00938500000120257,-13.699999999999964,0.5884571609
200,142.0,0.009140000000115833,-13.199999999999966,0.4112875576631213
201,38.0,0.002436999999190448,-103.8,-84.6039442519294
202,104.0,0.006675999999060878,-9.399999999999979,0.37015880189680916
203,71.0,0.004553000000669272,-107.1,-85.28774684457377
204,185.0,0.012138000000049942,-17.499999999999993,0.3331429217071282
205,39.0,0.004225000000587897,-103.9,-72.76716588978005
206,166.0,0.014024000000063097,-15.599999999999966,0.2998286295364154
207,52.0,0.003853000000162865,-105.2,-32.93794154255407
208,15.0,0.004581999999572872,-101.5,-77.69448978990887
209,206.0,0.017070000001695007,-19.600000000000023,0.2698457665827739
210,94.0,0.0059000000001105946,-8.399999999999983,0.24286118992449657
211,123.0,0.008232000000134576,-112.29999999999997,-75.41756316954714
212,62.0,0.0071209999987331685,-5.199999999999994,0.2832748159668036
213,70.0,0.005712000000130502,-106.99999999999999,-99.981
214,85.0,0.006695000000036089,-7.499999999999986,0.2549473343701232
215,60.0,0.006034999998519197,-106.0,-67.87580685259242
216,121.0,0.010229999999864958,-11.099999999999973,0.52961144481
217,182.0,0.012146000000939239,-17.19999999999999,0.9711810800730064
218,60.0,0.0038569999996980187,-4.999999999999995,0.596416372799665
219,75.0,0.004936999999699765,-6.499999999999989,0.5367747355196985
220,31.0,0.002156999998987885,-103.1,-99.99
221,133.0,0.008554999998523272,-113.29999999999997,-29.644147388298663
222,35.0,0.0023840000012569362,-103.5,-65.49044930080204
223,32.0,0.0020679999997810228,-2.2000000000000015,0.476650300329
224,40.0,0.0027530000006663613,-3.0000000000000018,0.637050179442459
225,60.0,0.003810999998677289,-4.999999999999995,0.5733451614982131
226,31.0,0.0019969999993918464,-103.1,-84.5824083
227,110.0,0.0070940000005066395,-9.999999999999977,0.5160106453483918
228,82.0,0.005128000000695465,-7.199999999999987,0.47895630137537304
229,67.0,0.00459699999919394,-106.69999999999999,-99.989682657
230,55.0,0.0035029999999096617,-4.4999999999999964,0.6473389693785327
231,85.0,0.005476000000271597,-7.499999999999986,0.5826050724406795
232,181.0,0.013370999999096966,-17.099999999999987,0.5243445651966115
233,158.0,0.011062999999921885,-14.79999999999996,0.4719101086769504
234,333.0,0.02666300000055344,-32.3000000000002,0.4247190978092553
235,82.0,0.00606800000059593,-7.199999999999987,0.48500559292570244
236,104.0,0.006903999999849475,-9.399999999999979,0.4365050336331322
237,83.0,0.005258999999568914,-7.2999999999999865,0.392854530269819
238,80.0,0.005262999999104068,-107.99999999999999,-89.99047971
239,120.0,0.0074939999994967366,-10.999999999999973,0.4088192418358384
240,59.0,0.003885000000082073,-4.899999999999995,0.43106067123783576
241,45.0,0.00294699999903969,-104.5,-89.9904789
242,31.0,0.001980000000912696,-103.1,-90.64866114060607
243,58.0,0.003815000000031432,-105.8,-90.21712628390016
244,19.0,0.0012520000000222353,-101.9,-90.0
245,28.0,0.0018010000003414461,-102.8,-33.99747427948755
246,24.0,0.0015560000010736985,-1.4000000000000008,0.4405524293111317
247,20.0,0.0014039999987289775,-102.0,-58.941404370721834
248,50.0,0.003378000001248438,-3.9999999999999982,0.46610338142782304
249,25.0,0.0016299999988405034,-102.5,-77.84762979460908
250,23.0,0.0015000000003055902,-102.3,-87.3359478587632
251,33.0,0.0021539999997912673,-2.3000000000000016,0.4194930432850408
252,47.0,0.0031420000013895333,-3.6999999999999993,0.3775437389565367
253,52.0,0.0033260000000154832,-105.2,-100.0
254,80.0,0.005310999998982879,-107.99999999999999,-73.7019
255,25.0,0.0018329999984416645,-1.5000000000000009,0.339789365060883
256,124.0,0.007728000000497559,-112.39999999999998,-81.58379502654546
257,78.0,0.0051110000003973255,-6.799999999999988,0.3058104285547947
258,105.0,0.006723999998939689,-9.499999999999979,0.2752293856993152
259,74.0,0.00483899999926507,-6.39999999999999,0.24770644712938372
260,38.0,0.002541999998356914,-2.800000000000002,0.38795460411405214
261,19.0,0.0012669999996433035,-0.9000000000000006,0.2229358024164454
262,65.0,0.004346000001532957,-5.499999999999993,0.2665972666225648
263,43.0,0.00275099999998929,-3.3000000000000007,0.2399375399603083
264,28.0,0.00181700000030105,-1.8000000000000012,0.3033334003360121
265,56.0,0.0037580000007437775,-4.599999999999996,0.3338900560812421
266,38.0,0.0024389999998675194,-2.800000000000002,0.40471800364346167
267,24.0,0.0015569999995932449,-102.4,-72.99604005485585
268,39.0,0.002491000001100474,-2.900000000000002,0.3005010504731179
269,101.0,0.006628000001001055,-9.09999999999998,0.27045094542580617
270,24.0,0.0017329999991488876,-1.4000000000000008,0.3063674413213997
271,70.0,0.011289000000033411,-5.999999999999991,0.2757306971892597
272,76.0,0.004972999999154126,-6.599999999999989,0.24815762747033376
273,55.0,0.0035360000001674052,-4.4999999999999964,0.42257939846692205
274,21.0,0.001532000000224798,-1.1000000000000005,0.3803214586202298
275,208.0,0.013870000000679283,-120.80000000000003,-37.523734490262285
276,44.0,0.003070000000661821,-3.4000000000000004,0.34228931275820684
277,41.0,0.0027379999992263038,-3.1000000000000014,0.3080603814823861
278,70.0,0.005301999999574036,-5.999999999999991,0.8740629720657058
279,44.0,0.0029060000015306287,-3.4000000000000004,0.3642462032791155
280,27.0,0.0019060000013269018,-1.700000000000001,0.33784653930075725
281,40.0,0.0027120000013383105,-3.0000000000000018,0.36277755339473383
282,82.0,0.005300000000715954,-7.199999999999987,0.3264997980552604
283,36.0,0.002630999999382766,-2.600000000000002,0.29384981824973433
284,63.0,0.004085000000486616,-106.3,-68.93880145957834
285,70.0,0.0052460000006249174,-106.99999999999999,-91.86739611600557
286,97.0,0.006425000001399894,-8.699999999999982,0.26446483642476093
287,30.0,0.002108000000589527,-2.0000000000000013,0.3240107498967604
288,54.0,0.003898000000845059,-105.39999999999999,-79.1877031548888
289,64.0,0.004080999999132473,-106.39999999999999,-84.29865464898425
290,40.0,0.003316999998787651,-3.0000000000000018,0.29160967490708434
291,36.0,0.00231300000086776,-2.600000000000002,0.4016152758085505
292,59.0,0.0037259999990055803,-4.899999999999995,0.48516049862868815
293,66.0,0.004667999999583117,-5.5999999999999925,0.4366444487658193
294,53.0,0.0037890000003244495,-4.299999999999997,0.647186358760288
295,25.0,0.0016390000000683358,-1.5000000000000009,0.5824677228842591
296,31.0,0.002033000000665197,-2.1000000000000014,0.5242209505958332
297,40.0,0.0032649999993736856,-3.0000000000000018,0.38487407214461966
298,52.0,0.0033740000017132843,-4.1999999999999975,0.3463866649301577
299,34.0,0.0022200000003067544,-2.4000000000000017,0.6292143176346423
300,42.0,0.0031769999986863695,-3.200000000000001,0.5662928858711781
301,25.0,0.0061920000007376075,-1.5000000000000009,0.5096635972840603
302,21.0,0.004304000000047381,-1.1000000000000005,0.4586972375556543
303,38.0,0.0030029999998077983,-2.800000000000002,0.31174799843714196
304,24.0,0.0018089999994117534,-1.4000000000000008,0.5424793539660453
305,51.0,0.004275999999663327,-4.099999999999998,0.589573557725958
306,50.0,0.003538999999364023,-3.9999999999999982,0.5306162019533622
307,48.0,0.004496999999901163,-3.799999999999999,0.5387612141291793
308,24.0,0.002051999999821419,-1.4000000000000008,0.5876544680138167
309,22.0,0.0019459999984974274,-1.2000000000000006,0.528889021212435
310,44.0,0.004236999999193358,-3.4000000000000004,0.47600011909119144
311,21.0,0.0019730000003619352,-1.1000000000000005,0.42840010718207233
312,29.0,0.0026370000014139805,-1.9000000000000012,0.38556009646386513
313,37.0,0.0035170000010111835,-2.700000000000002,0.4027138007402551
314,60.0,0.005816999999296968,-4.999999999999995,0.36244242066622956
315,55.0,0.00426300000071933,-4.4999999999999964,0.32619817859960665
316,30.0,0.0019469999988359632,-2.0000000000000013,0.29357836073964594
317,21.0,0.0015129999992495868,-1.1000000000000005,0.26422052466568136
318,36.0,0.002846999999746913,-2.600000000000002,0.2377984721991132
319,35.0,0.002335999999559135,-2.5000000000000018,0.21401862497920188
320,30.0,0.0019410000004427275,-2.0000000000000013,0.19261676248128168
321,31.0,0.002343000000109896,-2.1000000000000014,0.17335508623315354
322,42.0,0.0029150000009394716,-3.200000000000001,0.1560195776098382
323,51.0,0.0032570000003033783,-4.099999999999998,0.3581989831923167
324,34.0,0.0026520000010350486,-2.4000000000000017,0.322379084873085
325,28.0,0.0022690000005241018,-1.8000000000000012,0.2901411763857765
326,29.0,0.0019260000008216593,-1.9000000000000012,0.3439578520493387
327,36.0,0.002604000001156237,-2.600000000000002,0.3095620668444048
328,61.0,0.003943000001527253,-5.099999999999994,0.35977758872057797
329,22.0,0.0016969999996945262,-1.2000000000000006,0.3237998298485202
330,22.0,0.0016520000008313218,-1.2000000000000006,0.2914198468636682
331,24.0,0.0016780000005383044,-102.4,-82.88967301419345
332,39.0,0.0025170000008074567,-2.900000000000002,0.3455771258824867
333,37.0,0.0030299999998533167,-103.7,-42.00242798850276
334,25.0,0.0016310000009980286,-1.5000000000000009,0.4416086132711954
335,37.0,0.0023600000004080357,-2.700000000000002,0.46685725241113873
336,21.0,0.0016940000004979083,-1.1000000000000005,0.4670132229522509
337,52.0,0.003404999999474967,-4.1999999999999975,0.5327425878638041
338,52.0,0.003695999999763444,-4.1999999999999975,0.47946832907742376
339,32.0,0.0020679999997810228,-2.2000000000000015,0.4315214961696814
340,303.0,0.02069400000073074,-130.30000000000015,-33.77136104123606
341,92.0,0.005950999999186024,-8.199999999999983,0.4411834922940233
342,21.0,0.0020659999991039513,-1.1000000000000005,0.39706514306462104
343,58.0,0.0037570000004052417,-4.799999999999995,0.5420577789296377
344,22.0,0.001436999998986721,-102.2,-80.991657
345,38.0,0.0026980000002367888,-2.800000000000002,0.48785200103667403
346,33.0,0.0026479999996809056,-103.3,-100.0
347,61.0,0.0042000000012194505,-5.099999999999994,0.6043829784651602
348,171.0,0.011254999999437132,-117.09999999999997,-82.64175227594606
349,66.0,0.004729000000224914,-5.5999999999999925,0.5858685529753391
350,228.0,0.01518700000087847,-122.80000000000005,-100.0
351,13.0,0.0009340000015072292,-101.3,-30.394224937112455
352,189.0,0.012957000000824337,-17.9,0.6241576789233312
353,34.0,0.002615999999761698,-2.4000000000000017,0.6158626586942828
354,59.0,0.004086000000825152,-4.899999999999995,0.6463640941966883
355,114.0,0.008237000000008265,-10.399999999999975,0.6210067468426281
356,59.0,0.004159999998591957,-4.899999999999995,0.5997826471072797
357,52.0,0.003319999999803258,-4.1999999999999975,0.48832443619166055
358,21.0,0.002005000000281143,-102.1,-79.30406880479563
359,24.0,0.0016620000005787006,-1.4000000000000008,0.6468495373404208
360,32.0,0.0020619999995687976,-2.2000000000000015,0.7513611764340171
361,36.0,0.0026140000009036157,-2.600000000000002,0.6762250587906153
362,38.0,0.002502999999705935,-2.800000000000002,0.6579192419263501
363,40.0,0.002782000001388951,-3.0000000000000018,0.5921273177337151
364,81.0,0.005415999999968335,-7.099999999999987,0.5329145859603436
365,45.0,0.003349000000525848,-104.5,-100.0
366,33.0,0.0023949999995238613,-2.3000000000000016,0.47962312736430923
367,91.0,0.005999000000883825,-8.099999999999984,0.4316608146278783
368,37.0,0.0025889999997161794,-2.700000000000002,0.38849473316509053
369,33.0,0.002171000000089407,-2.3000000000000016,0.3496452598485815
370,25.0,0.0017459999999118736,-1.5000000000000009,0.39338960478330276
371,29.0,0.0019400000001041917,-1.9000000000000012,0.35405064430497246
372,106.0,0.007465000000593136,-9.599999999999978,0.44831510184451817
373,38.0,0.0024549999998271232,-2.800000000000002,0.4552397402438617
374,68.0,0.004710000001068693,-106.8,-90.97742095149405
375,72.0,0.004579999998895801,-6.19999999999999,0.4097157662194756
376,166.0,0.011279000000286032,-116.59999999999997,-99.97903505026665
377,30.0,0.001952000000528642,-2.0000000000000013,0.4413211305700595
378,20.0,0.0013549999985116301,-1.0000000000000004,0.5430737665597474
379,45.0,0.0034260000011272496,-3.5,0.5489815418332911
380,25.0,0.0016279999999824213,-1.5000000000000009,0.49408338764996196
381,108.0,0.007074000001011882,-9.799999999999978,0.4446750488849658
382,39.0,0.0026099999995494727,-2.900000000000002,0.4002075439964692
383,90.0,0.0058030000000144355,-7.999999999999984,0.36018678959682227
384,43.0,0.0029299999987415504,-104.3,-100.0
385,61.0,0.00412999999934982,-5.099999999999994,0.4012680326044522
386,33.0,0.0022360000002663583,-2.3000000000000016,0.5140784758114574
387,66.0,0.008578999999372172,-5.5999999999999925,0.4626706282303116
388,27.0,0.0036080000008951174,-1.700000000000001,0.48425313559347327
389,39.0,0.0026699999998527346,-2.900000000000002,0.43582782203412596
390,22.0,0.0014869999995426042,-1.2000000000000006,0.39224503983071335
391,18.0,0.0014780000001337612,-101.8,-64.96511787550122
392,35.0,0.0022939999998925487,-2.5000000000000018,0.35302053584764204
393,69.0,0.004731999999421532,-5.8999999999999915,0.3177184822628778
394,20.0,0.0013439999984257156,-1.0000000000000004,0.3459303696540288
395,45.0,0.003133000000161701,-3.5,0.38936040359066293
396,172.0,0.012414999999236898,-16.199999999999974,0.5054582895358773
397,24.0,0.0015810000004421454,-1.4000000000000008,0.4549124605822896
398,22.0,0.0014429999991989462,-1.2000000000000006,0.40942121452406066
399,46.0,0.00332199999866134,-3.5999999999999996,0.3684790930716546
400,44.0,0.0031309999994846294,-3.4000000000000004,0.388417000900975
401,20.0,0.0013230000004114117,-1.0000000000000004,0.3495753008108775
402,27.0,0.0020659999991039513,-1.700000000000001,0.3146177707297898
403,24.0,0.0015690000000176951,-1.4000000000000008,0.2831559936568109
404,21.0,0.001382000000376138,-1.1000000000000005,0.2548403942911298
405,36.0,0.002856999999494292,-2.600000000000002,0.495390387621401
406,43.0,0.0027460000001156004,-3.3000000000000007,0.4458513488592609
407,27.0,0.0017690000004222384,-1.700000000000001,0.40126621397333484
408,29.0,0.0019219999994675163,-102.9,-27.354802443401212
409,46.0,0.0034040000009554205,-3.5999999999999996,0.5024787954574436
410,41.0,0.002758999999059597,-3.1000000000000014,0.5171965788944649
411,35.0,0.0026460000008228235,-2.5000000000000018,0.5128935365346672
412,268.0,0.018039000000499072,-126.80000000000011,-84.57963437151982
413,31.0,0.0020130000011704396,-2.1000000000000014,0.4616041828812004
414,18.0,0.0013610000005428446,-0.8000000000000005,0.4154437645930804
415,110.0,0.00764300000082585,-9.999999999999977,0.3738993881337723
416,56.0,0.003604000001359964,-4.599999999999996,0.7759927665494863
417,122.0,0.008242999998401501,-112.19999999999997,-90.0
418,22.0,0.0014520000004267786,-1.2000000000000006,0.48229646264048986
419,36.0,0.00404299999900104,-2.600000000000002,0.48368213923008996
420,55.0,0.008433000000877655,-4.4999999999999964,0.435313925307081
421,22.0,0.0015879999991739169,-1.2000000000000006,0.39178253277637287
422,25.0,0.0017310000002908055,-102.5,-82.68065650440502
423,45.0,0.0031579999995301478,-3.5,0.5403948557489746
