params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",22.712263000001258,1000,-0.06925126229637595,-0.07027027027027029,-0.09090909090909093,-0.02666666666666669,0.009990238691738377
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",19.781348000000435,1000,-0.06883239764429103,-0.07027027027027029,-0.08932038834951454,-0.03125000000000001,0.009757971422546356
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",18.24589300000116,1000,-0.1530953874450239,-0.07441860465116278,-5.095000000000001,-0.02666666666666669,0.46030916062945637
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",20.335978000000978,1000,-0.06855307817628634,-0.06944444444444446,-0.09090909090909093,-0.03529411764705883,0.009821109776416967
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",21.172112000000197,1000,-0.06923686521994338,-0.06944444444444446,-0.0965079365079365,-0.02666666666666669,0.010402849825704044
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",20.642120000000432,1000,-0.12808801556267793,-0.07105263157894738,-5.095000000000001,-0.03125000000000001,0.38793305205037115
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",19.48858199999995,1000,-0.06872136841910682,-0.07027027027027029,-0.08999999999999998,-0.03125000000000001,0.009535882157697361
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",21.713847999999416,1000,-0.06910535496930811,-0.07105263157894738,-0.09166666666666665,-0.021428571428571446,0.010171920548240124
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",262.4639100000004,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",19.23188400000072,1000,-0.08765880427026354,-0.07027027027027029,-3.9423076923076925,-0.02666666666666669,0.18599087969709166
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",19.933046999998624,1000,-0.06848974808620455,-0.07027027027027029,-0.09126984126984126,-0.021428571428571446,0.01012088027261761
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",26.33701999999903,1000,-0.07026982776369131,-0.07179487179487182,-0.09648562300319488,-0.03125000000000001,0.011104591932872289
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",22.75571200000013,1000,-0.0700229558173069,-0.07105263157894738,-0.09696132596685081,-0.03529411764705883,0.0110306469624372
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",21.37648099999933,1000,-0.06834296774974263,-0.06944444444444446,-0.0882978723404255,-0.038888888888888896,0.009242429076963316
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",19.245582999999897,1000,-0.15938716799667565,-0.07708333333333332,-4.096,-0.03529411764705883,0.4348629213751068
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",19.666165000000547,1000,-0.1519034786284471,-0.07027027027027029,-4.857142857142857,-0.02666666666666669,0.4658682533729786
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",21.047450000000026,1000,-0.13283774210128063,-0.07027027027027029,-3.8,-0.021428571428571446,0.36799215669642227
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",23.993805000000066,1000,-0.07021240636868496,-0.07105263157894738,-0.09673590504451036,-0.02666666666666669,0.010913360751627955
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",239.77792699999918,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",203.40825799999948,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",28.428547000001345,1000,-0.06982664577940094,-0.07027027027027029,-0.09808027923211167,-0.021428571428571446,0.01070307853257347
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",21.652108000000226,1000,-0.06964713456522119,-0.07027027027027029,-0.0970509383378016,-0.02666666666666669,0.010770815636586774
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",19.968994000000748,1000,-0.07011198519397602,-0.07027027027027029,-0.09702702702702702,-0.03125000000000001,0.010597246343471627
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",31.179944000001342,1000,-0.0694910035987656,-0.07027027027027029,-0.09786821705426356,-0.03125000000000001,0.01116790031314768
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",20.082628000000113,1000,-0.1358811190975407,-0.07317073170731707,-3.3225806451612905,-0.02666666666666669,0.3593250302931981
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.674214000000575,1000,-0.1469014082938892,-0.07066145092460883,-4.096,-0.03125000000000001,0.41935087237288254
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",20.13076700000056,1000,-0.06815727747276681,-0.06944444444444446,-0.09051724137931035,-0.02666666666666669,0.009828713099677198
"{""alpha"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",18.775406999999177,1000,-0.15706503404156574,-0.06857142857142857,-8.424999999999999,-0.021428571428571446,0.7027756634561144
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",310.26548699999876,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",192.50868099999934,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",24.09314799999993,1000,-0.0690867416858199,-0.07027027027027029,-0.08921568627450978,-0.03125000000000001,0.009798305949845551
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",22.715519000001223,1000,-0.0690295930080701,-0.07027027027027029,-0.09017857142857144,-0.02666666666666669,0.010349439579346328
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",28.046822000000247,1000,-0.06917656791104061,-0.07027027027027029,-0.08990825688073394,-0.03529411764705883,0.010014055116555594
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",22.269500000000335,1000,-0.07002122088767947,-0.07105263157894738,-0.09752808988764046,-0.03125000000000001,0.01065280984464901
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",19.09914200000094,1000,-0.06928876451165869,-0.07105263157894738,-0.08932038834951454,-0.02666666666666669,0.010122984276042113
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",18.67639599999893,1000,-0.13920086625382053,-0.0738095238095238,-5.095000000000001,-0.03529411764705883,0.39413541365810745
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",19.243411000001288,1000,-0.1139198455304016,-0.06857142857142857,-7.7846153846153845,-0.02666666666666669,0.4800834216908102
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",24.48252500000126,1000,-0.06894445938914169,-0.07027027027027029,-0.08735632183908043,-0.02666666666666669,0.009972386839652549
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.0}",258.0975279999984,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.1}",188.89419799999814,1000,-0.10000000000000003,-0.10000000000000002,-0.10000000000000002,-0.10000000000000002,1.3877787807814457e-17
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",21.969057999998768,1000,-0.1290131055251387,-0.07027027027027029,-4.857142857142857,-0.02666666666666669,0.38115165594719486
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",19.556989000000613,1000,-0.0851976009898473,-0.07027027027027029,-3.5448275862068965,-0.03125000000000001,0.19137679666853166
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",23.633976999997685,1000,-0.0694572525423859,-0.07105263157894738,-0.09083333333333335,-0.02666666666666669,0.010068322707103677
"{""alpha"": 0.5, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",26.380676000000676,1000,-0.0686855350145184,-0.07027027027027029,-0.09017857142857144,-0.02666666666666669,0.010162000552813877
